"","Parameter","Estimate","X2.5","X97.5"
"1","(Intercept)","1.83","1.44","2.22"
"2","G1","-0.07","-0.08","-0.05"
"3","factor(G0)23","-1.51","-2.04","-0.97"
"4","factor(G0)27","-4.38","-5.04","-3.73"
"5","G1:factor(G0)23","0.11","0.09","0.14"
"6","G1:factor(G0)27","0.24","0.21","0.27"
