"","Autocorrelation","No autocorrelation"
"No transgenerational effects",2061.56009573915,2279.03342385912
"Wasp transgenerational effects",2061.45850388248,2277.5078235531
"Fly transgenerational effects",1347.09736306858,1478.42406693539
"Both transgenerational effects",1345.50718153179,1473.4098626265
