"","Parameter","Estimate","X2.5","X97.5"
"1","topt19","28.37","24.38","NA"
"2","topt23","28.35","24.07","28.99"
"3","topt27","29.00","26.81","NA"
"4","rmax19","46.11","34.76","58.44"
"5","rmax23","71.31","48.67","76.15"
"6","rmax27","20.50","14.71","25.27"
"7","a19","4.21","2.37","5.36"
"8","a23","3.65","1.99","4.21"
"9","a27","3.22","2.59","3.59"
